iter	Passed	Remaining
805	60998	14682
806	61090	14610
807	61179	14537
808	61261	14463
809	61343	14389
810	61426	14315
811	61508	14240
812	61583	14165
813	61668	14091
814	61745	14015
815	61830	13942
816	61908	13866
817	61991	13792
818	62066	13716
819	62148	13642
820	62231	13568
821	62308	13492
822	62389	13417
823	62463	13341
824	62555	13269
825	62629	13193
826	62706	13117
827	62788	13043
828	62875	12969
829	62956	12894
830	63040	12820
831	63116	12744
832	63190	12668
833	63268	12593
834	63349	12518
835	63434	12444
836	63511	12368
837	63588	12292
838	63664	12216
839	63750	12143
840	63834	12068
841	63920	11994
842	64006	11920
843	64086	11845
844	64176	11771
845	64258	11697
846	64336	11621
847	64432	11549
848	64510	11473
849	64591	11398
850	64662	11321
851	64740	11245
852	64817	11170
853	64897	11094
854	64981	11020
855	65064	10945
856	65139	10869
857	65221	10794
858	65296	10718
859	65377	10642
860	65458	10567
861	65539	10492
862	65623	10417
863	65696	10341
864	65767	10264
865	65849	10189
866	65934	10114
867	66029	10041
868	66119	9967
869	66186	9889
870	66255	9812
871	66332	9736
872	66409	9660
873	66480	9584
874	66547	9506
875	66617	9429
876	66690	9353
877	66762	9276
878	66835	9200
879	66901	9122
880	66974	9046
881	67045	8969
882	67118	8893
883	67196	8817
884	67263	8740
885	67332	8663
886	67407	8587
887	67476	8510
888	67550	8434
889	67631	8358
890	67706	8282
891	67773	8205
892	67844	8129
893	67916	8052
894	67987	7976
895	68054	7899
896	68130	7823
897	68194	7745
898	68263	7669
899	68333	7592
900	68414	7517
901	68484	7440
902	68553	7364
903	68635	7288
904	68708	7212
905	68806	7138
906	68878	7062
907	68946	6985
908	69022	6909
909	69096	6833
910	69169	6757
911	69236	6680
912	69313	6604
913	69392	6529
914	69466	6453
915	69549	6377
916	69622	6301
917	69693	6225
918	69768	6149
919	69836	6072
920	69906	5996
921	69982	5920
922	70051	5843
923	70127	5768
924	70197	5691
925	70263	5614
926	70349	5539
927	70421	5463
928	70492	5387
929	70580	5312
930	70651	5236
931	70729	5160
932	70797	5084
933	70874	5008
934	70947	4932
935	71021	4856
936	71092	4779
937	71176	4704
938	71247	4628
939	71325	4552
940	71405	4477
941	71479	4401
942	71561	4325
943	71633	4249
944	71702	4173
945	71774	4097
946	71858	4021
947	71932	3945
948	72017	3870
949	72093	3794
950	72175	3718
951	72256	3643
952	72340	3567
953	72417	3491
954	72489	3415
955	72565	3339
956	72633	3263
957	72700	3187
958	72771	3111
959	72851	3035
960	72923	2959
961	72990	2883
962	73068	2807
963	73140	2731
964	73212	2655
965	73281	2579
966	73360	2503
967	73439	2427
968	73516	2351
969	73594	2276
970	73668	2200
971	73740	2124
972	73810	2048
973	73882	1972
974	73952	1896
975	74019	1820
976	74083	1744
977	74155	1668
978	74227	1592
979	74303	1516
980	74384	1440
981	74462	1364
982	74546	1289
983	74627	1213
984	74701	1137
985	74776	1061
986	74849	985
987	74929	910
988	75004	834
989	75084	758
990	75158	682
991	75234	606
992	75304	530
993	75381	455
994	75450	379
995	75520	303
996	75600	227
997	75681	151
998	75767	75
999	75845	0
